side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
2,1,1e-09,0.01,4,5074,0.17043115888888888,0.04260778972222222,292192
2,1,1.389495494373136e-09,0.01,4,5007,0.16818126111111112,0.04204531527777778,292192
2,1,1.9306977288832536e-09,0.01,37,258974455,80442.68282686833,2174.1265628883334,329196
2,1,2.6826957952797275e-09,0.01,4,4872,0.16364788666666666,0.040911971666666665,281440
2,1,3.727593720314938e-09,0.01,4,4802,0.1612972477777778,0.04032431194444445,274272
2,1,5.179474679231202e-09,0.01,4,4732,0.1589466088888889,0.039736652222222224,267616
2,1,7.1968567300115284e-09,0.01,4,4661,0.15656238888888888,0.03914059722222222,267616
2,1,1e-08,0.01,4,4593,0.13664703555555555,0.034161758888888887,267616
2,1,1.389495494373136e-08,0.01,5,4516,0.16794605277777777,0.033589210555555554,243040
2,1,1.9306977288832496e-08,0.01,5,4442,0.16519484583333333,0.03303896916666667,243040
2,1,2.682695795279727e-08,0.01,5,4367,0.1624064597222222,0.03248129194444444,236896
2,1,3.7275937203149377e-08,0.01,5,4290,0.15954371805555556,0.03190874361111111,226400
2,1,5.1794746792312124e-08,0.01,5,4213,0.156680975,0.031336195,220256
2,1,7.196856730011513e-08,0.01,5,4134,0.1537438763888889,0.03074877527777778,220256
2,1,1e-07,0.01,6,4054,0.18091129833333333,0.030151883055555554,217756
2,1,1.389495494373136e-07,0.01,6,3972,0.17725293666666667,0.02954215611111111,217756
2,1,1.9306977288832497e-07,0.01,6,3889,0.17354996166666667,0.028924993611111113,212124
2,1,2.6826957952797275e-07,0.01,6,3805,0.16980237166666667,0.02830039527777778,202780
2,1,3.727593720314938e-07,0.01,7,3719,0.1936264788888889,0.027660925555555556,202780
2,1,5.179474679231202e-07,0.01,7,3632,0.18909814,0.02701402,197148
2,1,7.196856730011514e-07,0.01,7,3543,0.18446570333333334,0.026352243333333334,197148
2,1,1e-06,0.01,8,3453,0.17895273111111112,0.02236909138888889,187420
2,1,1.389495494373136e-06,0.01,8,3361,0.1741862111111111,0.021773276388888888,175644
2,1,1.9306977288832498e-06,0.01,8,3267,0.1693160711111111,0.021164508888888888,175644
2,1,2.6826957952797274e-06,0.01,9,3172,0.18494338500000002,0.020549265,167548
2,1,3.727593720314938e-06,0.01,9,3075,0.17928962,0.01992106888888889,161916
2,1,5.179474679231202e-06,0.01,10,2976,0.1927992,0.01927992,156796
2,1,7.196856730011514e-06,0.01,11,2876,0.204955245,0.018632295,156796
2,1,1e-05,0.01,12,2775,0.21573832666666667,0.01797819388888889,156796
2,1,1.3894954943731361e-05,0.01,13,2672,0.22504481999999998,0.01731114,156796
2,1,1.9306977288832496e-05,0.01,14,2569,0.23301720944444443,0.01664408638888889,152188
2,1,2.682695795279722e-05,0.01,15,2465,0.23955834583333335,0.01597055638888889,144316
2,1,3.727593720314938e-05,0.01,17,2361,0.2600494486111111,0.015297026388888888,139708
2,1,5.1794746792312125e-05,0.01,19,2257,0.2778464313888889,0.01462349638888889,139708
2,1,7.196856730011514e-05,0.01,22,2154,0.307041735,0.0139564425,139708
2,1,0.0001,0.01,25,2052,0.332396625,0.013295865,139708
2,1,0.0001389495494373136,0.01,29,1953,0.31260918944444444,0.010779627222222221,137482
2,1,0.00019306977288832496,0.01,35,1855,0.3583643097222222,0.010238980277777778,120554
2,1,0.0002682695795279722,0.01,44,1761,0.4276976244444444,0.009720400555555555,120554
2,1,0.0003727593720314938,0.01,57,1669,0.5251327033333333,0.009212854444444444,109466
2,1,0.0005179474679231202,0.01,77,1577,0.6703087416666667,0.008705308333333333,109466
2,1,0.0007196856730011514,0.01,120,1390,0.9208399,0.007673665833333333,105370
2,1,0.001,0.01,234,1001,1.293210165,0.005526539166666667,104214
2,1,0.001389495494373136,0.01,456,720,1.8132004000000002,0.003976316666666667,104214
2,1,0.0019306977288832496,0.01,890,518,2.5471105305555555,0.0028619219444444444,104214
2,1,0.002682695795279722,0.01,1741,373,3.5887537675000005,0.0020613175,98260
2,1,0.003727593720314938,0.01,3411,269,5.0741003225,0.0014875697222222221,94164
2,1,0.005179474679231202,0.01,6701,194,7.1868839258333335,0.0010725091666666667,89680
2,1,0.007196856730011514,0.01,13286,139,10.21806331,0.000769085,89680
2,1,0.01,0.01,26093,101,14.594880364166666,0.0005593408333333333,89230
2,2,1e-09,0.01,4,5074,0.08521558,0.021303895,449824
2,2,1.389495494373136e-09,0.01,4,5007,0.0840906311111111,0.021022657777777776,446240
2,2,1.9306977288832536e-09,0.01,37,258974455,40221.341413434166,1087.0632814441667,486828
2,2,2.6826957952797275e-09,0.01,4,4872,0.08182394333333333,0.020455985833333332,431904
2,2,3.727593720314938e-09,0.01,4,4802,0.08064862444444444,0.02016215611111111,418592
2,2,5.179474679231202e-09,0.01,4,4732,0.07947330444444445,0.019868326111111112,418592
2,2,7.1968567300115284e-09,0.01,4,4661,0.07828119444444444,0.01957029861111111,418592
2,2,1e-08,0.01,4,4593,0.06832351777777777,0.017080879444444443,382752
